actorID,Actor
300,Christy Turlington
301,Azzedine Alaïa
302,Giorgio Armani
303,Rustam Branaman
304,Jennifer MacDonald
305,Sophie Marceau
306,Patrick McGoohan
307,Jodie Foster
308,Cybill Shepherd
309,Jackie Chan
310,Anita Mui
311,Françoise Yip
312,Liam Neeson
313,Edward Furlong
314,Helena Bonham Carter
315,Kate Nelligan
316,Clive Russell
317,Michel Serrault
318,Eddy Mitchell
319,Sabine Azéma
320,Glenn Close
321,Janny Brandes-Brilslijper
322,Hugh O'Conor
323,Antony Sher
324,Tobias Arnold
325,Sarah Jessica Parker
326,Eric Schaeffer
327,Ben Stiller
328,Alan Arkin
329,Rachel Ticotin
330,Halle Berry
331,Jim Belushi
332,Bill Hunter
333,Brian Dooley
334,Robin Givens
335,Brigitte Lin
336,Takeshi Kaneshiro
337,Tony Chiu Wai Leung
338,Sergio Castellitto
339,Tiziana Lodato
340,Franco Scaldati
341,Patricia Arquette
342,Téa Leoni
343,Jason James Richter
344,Melody Kay
345,Jack Black
346,Amel Hedhili
347,Najia Ouerghi
348,Hend Sabry
349,Maggie Cogan
350,Katina Pendleton
351,Josh Charles
352,Anne Heche
353,John Goodman
354,Miranda Rhyne
355,Charlotte Eve Blythe
356,Anna Levine
357,Anne Parillaud
358,David Caruso
359,Luisito Martí
360,Caridad Ravelo
361,Raúl Carbonell
362,Lloyd Dunn
363,Chris Grigg
364,Mark Hosler
365,Kelsey Grammer
366,Lauren Holly
367,Rob Schneider
368,Mary Beth Hurt
369,Jean Seberg
370,Vivian Paxton
371,Claudette Sutherland
372,Michael Ornstein
373,Jacob Tierney
374,Drake Bell
375,Gena Rowlands
376,Mohan Agashe
377,Barun Chakraborty
378,Champa
379,Robert Redford
380,Stockard Channing
381,Nathan Lane
382,Zygmunt Bielawski
383,Jerzy Binczycki
384,Mieczyslaw Janowski
385,Michael York
386,Morgan Fairchild
387,Jack Mulcahy
388,Michael McGlone
389,Edward Burns
390,Will Smith
391,Martin Lawrence
392,Lisa Boyle
393,Stephen Lang
394,Ryan Slater
395,Yi Ding
396,Leonardo DiCaprio
397,Lorraine Bracco
398,Marilyn Sokol
399,Hugh Grant
400,Alan Rickman
401,Georgina Cates
402,Isabelle Huppert
403,Martin Donovan
404,Elina Löwensohn
405,Bill Paxton
406,Jessica Lange
407,John Hurt
408,Lili Taylor
409,Annabella Sciorra
410,Tommy Lee Jones
411,Catherine Deneuve
412,Jean Sorel
413,Michel Piccoli
414,U Aung Ko
415,Frances McDormand
416,Lou Reed
417,Michael J. Fox
418,John Candy
419,Alan Alda
420,Rhea Perlman
421,Cathy Moriarty
422,John Turturro
423,Delroy Lindo
424,Laura Linney
425,Dylan Walsh
426,Denzel Washington
427,Matt Craven
428,Robert Crumb
429,Aline Kominsky
430,Charles Crumb
431,Salma Hayek
432,Joaquim de Almeida
433,Tom Sizemore
434,Jennifer Beals
435,Jeremy Irons
436,Samuel L. Jackson
437,James Duval
438,Rose McGowan
439,Johnathon Schaech
440,Embeth Davidtz
441,Tom Bell
442,Gemma Jones
443,Sean Connery
444,Richard Gere
445,Michael Madsen
446,Francis Capra
447,Jonny Lee Miller
448,Angelina Jolie
449,Jesse Bradford
450,Steven Weber
451,Michael T. Weiss
452,Peter Jacobson
453,Keanu Reeves
454,Dolph Lundgren
455,Dina Meyer
456,Armand Assante
457,Tia Carrere
458,Stanley Tucci
459,Leo Fitzpatrick
460,Justin Pierce
461,Chloë Sevigny
462,Steve Buscemi
463,Catherine Keener
464,Scott Bakula
465,Kevin J. O'Connor
466,Joseph Latimore
467,Thomas Gibson
468,Ruth Marshall
469,Cameron Bancroft
470,Chris O'Donnell
471,Drew Barrymore
472,Matthew Lillard
473,Shannen Doherty
474,Jeremy London
475,Jason Lee
476,Karan Ashley
477,Johnny Yong Bosch
478,Steve Cardenas
479,Elizabeth Perkins
480,Whoopi Goldberg
481,Kathleen Turner
482,Marina Zudina
483,Fay Ripley
484,Evan Richards
485,Peter Fonda
486,Nic Ratner
487,Jeremy Northam
488,Dennis Miller
489,Parker Posey
490,Omar Townsend
491,Anthony DeSando
492,Elias Koteas
493,Virginia Madsen
494,Mia Farrow
495,Tony Goldwyn
496,Juana Barrios
497,Xander Berkeley
498,Dean Norris
499,Gary Oldman
500,Robert Duvall
501,Craig Mack
502,Dr. Dre
503,Afrika Bambaataa
504,Elizabeth Berkley
505,Kyle MacLachlan
506,Gina Gershon
507,William Hurt
508,Giancarlo Esposito
509,Dennis Quaid
510,Natasha Henstridge
511,Ben Kingsley
512,Aidan Quinn
513,Frances Fisher
514,Ralph Fiennes
515,Nino Castelnuovo
516,Anne Vernon
517,Daryl Hannah
518,Keith Carradine
519,Moira Kelly
520,Patrick Swayze
521,Joseph Mazzello
522,Romane Bohringer
523,John Leguizamo
524,Steven Seagal
525,Eric Bogosian
526,Everett McGill
527,Andie MacDowell
528,Michael Richards
529,Isaac Mizrahi
530,Roseanne Barr
531,Sandra Bernhard
532,Aitana Sánchez-Gijón
533,Anthony Quinn
534,Kevin Costner
535,Jeanne Tripplehorn
536,Dennis Hopper
537,Harry Belafonte
538,Kelly Lynch
539,Ellen Barkin
540,Albert Finney
541,Greta Scacchi
542,Daniel Stern
543,Jon Polito
544,Brad Sullivan
545,Nikita Mikhalkov
546,Ingeborga Dapkunaite
547,Oleg Menshikov
548,Katrin Cartlidge
549,Rade Serbedzija
550,Grégoire Colin
551,Ethan Hawke
552,Julie Delpy
553,Andrea Eckert
554,Darren McGavin
555,Bridgette Wilson-Sampras
556,J.T. Walsh
557,Mary-Louise Parker
558,Aeryk Egan
559,Jeffrey Combs
560,Barbara Crampton
561,Jonathan Fuller
562,Minnie Driver
563,Geraldine O'Rawe
564,Brian O'Halloran
565,Jeff Anderson
566,Marilyn Ghigliotti
567,Marlon Brando
568,Donald Sutherland
569,Bruce Greenwood
570,Andrew McCarthy
571,Gary Busey
572,Yancy Butler
573,Dylan McDermott
574,Nancy Travis
575,Quentin Tarantino
576,Stuart Wilson
577,Kathy Bates
578,Christopher Plummer
579,Jeff Daniels
580,Sihung Lung
581,Yu-Wen Wang
582,Chien-Lien Wu
583,Don McKellar
584,Dana Delany
585,Dan Aykroyd
586,Martin Landau
587,Meg Ryan
588,Kevin Kline
589,Billy Crystal
590,Debra Winger
591,Joe Mantegna
592,Mimi Rogers
593,Bruce Davison
594,Bill Farmer
595,Jason Marsden
596,Jim Cummings
597,Jeff Goldblum
598,Christine Lahti
599,Stefano Dionisi
